hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
42,Royal Lotus Hotel Đà Nẵng,192,CÔNG TY CỔ PHẦN DU LỊCH VÀ THƯƠNG MẠI HOA PHƯỢNG,1200000,Đà Nẵng," 120 Nguyễn Văn Thoại, Mỹ An,  Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/J2H7hkesdZA5Mmqk7,41
43,Golden Lotus Hotel Đà Nẵng,98,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ DU LỊCH CÁT LÂM,1100000,Đà Nẵng,"200 Trần Bạch Đằng , P. Mỹ An,  Q. Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/skWFn7rn7oNvGEQD6,42
44, Mandala Hotel & Spa Phú Yên,220,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,1500000,Phú Yên," Đại Lộ Hùng Vương, Phường 7, Thành phố Tuy Hoà, Phú Yên",https://maps.app.goo.gl/Wku21Lfywp7kxeWQ7,43
45,Grand Jeep Hotel Đà Nẵng,94,Công Ty TNHH Logistics Kỷ Nguyên Mới,800000,Đà Nẵng,142 - 146 Hồ Nghinh - Sơn Trà - Đà Nẵng,https://maps.app.goo.gl/dcqBm5RBcqPCPWt66,44
46,The Kila Boutique Hotel Quy Nhơn,40,Công ty TNHH PHÚ HẢI,800000,Quy Nhơn,"06 Trương Văn Của, Phường Nguyễn Văn Cừ, Thành phố Quy Nhơn, Bình Định",https://maps.app.goo.gl/yFM5ZVNo7FcarNTn7,45
47,Dylan Hotel Đà Nẵng,50,CHI NHÁNH CÔNG TY TNHH KINH DOANH THƯƠNG MẠI DUNG NAM TẠI ĐÀ NẴNG - KHÁCH SẠN DYLAN,900000,Đà Nẵng,93 - 95 Hà Bổng - Phước Mỹ  Sơn Trà - Đà Nẵng ,https://maps.app.goo.gl/MqmJiqmuRSLiJr7U9,46
48,Sunrise Nha Trang Beach Hotel & Spa,125,Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (Ocean Hospitality – OCH) ,1500000,Nha Trang,"2 - 14 Trần Phú, Phường Xương Huân, Thành phố Nha Trang, Khánh Hòa ",https://maps.app.goo.gl/VLx9toNX4EqLp6Sd6,47
49,Greenery Hotel Đà Nẵng,20,CÔNG TY TNHH DU LỊCH VÀ KHÁCH SẠN PHƯƠNG LINH KHÁCH SẠN GREENERY ĐÀ NẴNG,750000,Đà Nẵng,"76 Hà Bổng, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/KQ5FYboV3HNgghZW6,48
50,Grand Mercure Đà Nẵng,272,Grand Mercure Danang,2500000,Đà Nẵng,"Lô A1 Khu biệt thự Đảo Xanh, phường Hòa Cường Bắc, quận Hải Châu, Đà Nẵng",https://maps.app.goo.gl/KQR5n18wnndMabr29,49
51,December Hotel Nha Trang,246,CÔNG TY TNHH ĐẦU TƯ MNB VIỆT NAM,1400000,Nha Trang,"289 Nguyễn Thiện Thuật, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/EmWq19u4M3QgLrfDA,50
52,Citadines Bayfront Nha Trang Hotel,313,The Ascott Limited,1700000,Nha Trang,"62 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/WdPQyCGP2fnjm2At9,2
53,Paris Deli Hotel Đà Nẵng,103,Khách sạn Paris Deli Đà Nẵng Beach Hotel,1600000,Đà Nẵng,"236 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",https://maps.app.goo.gl/fjFEdsATC5tCXkDs5,51
54,Vesna Hotel Nha Trang,344,Vesna Hotel Nha Trang,1000000,Nha Trang,"100/6A Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/StpJpCf3LYQDy3XJA,52
55,DB Hotel Nha Trang,88,CÔNG TY TNHH THƯƠNG MẠI – DU LỊCH THÁI MINH,800000,Nha Trang,"96A/6/13-14 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/4LbEcoRGAmp5jk8t9,53
56,Imperial Hotel Nha Trang,143,Công ty Cổ phần Du Lịch & Thương Mại Công Thắng,1700000,Nha Trang,"20 Trần Phú, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/faPg81RqwdoS7xcc6,54
57, Xavia Nha Trang Hotel,180,CÔNG TY CỔ PHẦN ĐẦU TƯ GEDOSICO,1300000,Nha Trang,"09 Hoàng Diệu, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/ofTFj6tcoY8WpRRg7,55
58,Sala Đà Nẵng Beach Hotel,162,Sala Hotel Group,1600000,,"36 – 38 Lâm Hoành, Sơn Trà, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/V1bc3c3mYFrYXkvQ7,25
59,Peninsula Hotel Đà Nẵng,263,CÔNG TY CỔ PHẦN BĐS CĂN HỘ KS TOKYO GRAND,2000000,Đà Nẵng,"84 Võ Nguyên Giáp, phường Mân Thái, quận Sơn Trà, Thành phố Đà Nẵng,  Việt Nam",https://maps.app.goo.gl/rrnm7SjttVPsAeqj8,56
60,SunKiss Nha Trang Hotel,95,CÔNG TY TNHH KHÁCH SẠN SUN KISS,800000,Nha Trang,"100/8C - 100/C9 Trần Phú, Phường Vĩnh Trường, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/MajP8duxNcPRq1e26,57
