room_id,img_url
24,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Elegance Suite có ban công riêng/5makpcnzjdwddfms.webp
24,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Elegance Suite có ban công riêng/qvfz8z50qwdsowim.webp
25,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Captain Suite có ban công riêng/7l4mu9rqlx8nqpzk.jpg
25,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Captain Suite có ban công riêng/7qelg5rq00t9cgz1.jpg
25,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Captain Suite có ban công riêng/538fp9xm3su824em.jpg
25,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Captain Suite có ban công riêng/tsb09c9oowae8u5j.jpg
25,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/Phòng Captain Suite có ban công riêng/b84k539a99cfv0vx.jpg
26,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Junior Suite/fd39og1fs1gjodep.webp
26,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Junior Suite/s91xnjtoldfpcyw4.webp
26,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Junior Suite/xjzqxw49p4lubd76.webp
26,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Junior Suite/trsttn81rgufus0t.webp
27,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Superior Suite/kur2s5l5p6fz108s.webp
27,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Superior Suite/7vs50qqxkehmacg5.webp
27,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Superior Suite/23q6mavonfwf7bna.webp
28,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Premium Suite/v9oovh4y9cd72mvr.webp
28,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Premium Suite/y07v0mnh1va4e3wr.webp
28,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/Phòng Premium Suite/32pk1qv9ccavzewb.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/q1fij1oykic2rfng.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/18lkahtehl0zje0y.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/j5x71oo46mdap7tx.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/ez3hijoj032r04kw.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/afv2rgp3kgfuxw1n.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/u7srcb9i0g4mmog5.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/p1j3riv8kvlevke9.webp
29,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Junior Suite có ban công riêng/0m1440pf8ht23p3t.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/35ec999geb90can4.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/k5s5oqso1uad78wh.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/ouitol2gdi6nnyn3.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/80l5co7wi67ncfkb.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/yj9f911aiiuw8o79.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/23kvbe52kktib5yz.webp
30,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Triple Junior Suite có ban công riêng/cxy0ub4ihzfw3ke1.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/aufsxbitw72f9b9j.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/6oruo92brlix02wm.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/ouflb3m2uxl5ondb.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/i74h7ezz1y533axs.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/zp6t9149338lqec4.webp
31,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Senior Suite có ban công riêng/k0hvfag0l46w5vai.webp
32,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Executive Suite có ban công riêng/vvn09p3zjeajmmco.webp
