room_id,ship_id,room_name,size,max_persons,room_price,room_features
3,15,Phòng Executive có hiên tắm nắng riêng,36,2,8675000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,15,Phòng President có hiên tắm nắng riêng,60,2,18225000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,16,Phòng Deluxe giường đôi,16,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn"
2,16,Phòng Deluxe 02 giường đơn,16,2,3000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn"
1,17,Phòng Elite Junior Suite ,23,2,6725000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,17,Phòng Elite Junior Premium Suite,35,2,7500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,17,Phòng Elite Senior Suite  ,25,2,8600000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,17,Phòng Elite Senior Premium Suite,28,2,9350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
5,17,Phòng Executive Suite,30,2,11650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
6,17,Phòng President Suite,55,2,24150000,"Nhìn ra biển, Hồ bơi có tầm nhìn, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,18,Phòng Oasis Suite,32,2,4450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,18,Phòng Harmony Suite,32,2,4675000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,18,Phòng Sky Suite,32,2,5025000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
4,18,Phòng Sky Terrace Suite,45,2,5825000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng"
5,18,Phòng La Suite De Capella,48,2,6525000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng"
6,18,Phòng Owner Suite,92,2,7850000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng, Két an toàn"
1,19,Phòng Suite có ban công riêng,36,2,4600000,"Nhìn ra biển, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn, Wi-Fi"
2,19,Phòng Premium có ban công riêng,36,2,5275000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
