room_id,img_url
13,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 3 phòng ngủ/rcyggrd36wt0imnq.webp
13,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 3 phòng ngủ/kfv5htybm382ef07.webp
13,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 3 phòng ngủ/s81hlss98368k0os.webp
13,https://minio.fares.vn/mixivivu-dev/tour/citadines-marina-halong/Deluxe 3 phòng ngủ/bv3yhmr39jrpv6hu.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/uw4eht7q5t4g15ir.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/8pjq0gjbm09jfit4.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/h8a4frxrk7z717h9.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/3noxhg2ta8c3y6lk.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/uxxyxfuaaj90l5jf.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/k8n179szr5e9rxey.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/hrgvsp1m9h4q9b8a.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/dl0xj5f143eze2zg.webp
14,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Bay View/d19319ppmyuzaqms.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /tk4oby3zpsam9hkc.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /m5yxgz9vqn700u8u.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /nqzsjha57021wjwr.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /m5pvro939q78mrn9.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /kb8ml0vcepslmg14.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /ajvuorhp3qk4ecaa.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /215rys5ohvlf7swp.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /mbrj6f80lzeclp8q.webp
15,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Deluxe Lake View /ks0u2v4sokgzaezs.webp
16,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Presidential Suite 3 phòng ngủ/16eao6i6feyqcx8e.webp
16,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Presidential Suite 3 phòng ngủ/3avu7utgtm9l6kaj.webp
16,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Presidential Suite 3 phòng ngủ/7d7malf2u83itdz8.webp
16,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Presidential Suite 3 phòng ngủ/3ifreuo7nnlhrfej.webp
16,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Presidential Suite 3 phòng ngủ/h0sko6g2oxuwb3ek.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /sfxcczun3nqw6cpo.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /hhuwj35iysat99vz.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /owtg2dwlks0fhv7n.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /oaotzivtxzrv1eyr.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /1yfvzgkaxrwoxtvv.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /h10831e5r8eipqza.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /rpyhkpicjlsk012g.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /xyyy3ifomwrnd3xb.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /q8satkluplpwfjn3.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /zcg9e7095468p8cz.webp
17,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Premier Deluxe Bay View /hisp34hhdnleumd0.webp
18,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Suite Bay View /4tji6stgsah80c9l.webp
18,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Suite Bay View /shi06ex4vkdgz8xf.webp
18,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Suite Bay View /4e6setml1lwsoh3e.webp
18,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Suite Bay View /jmbmr98n2dd5eozj.webp
18,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Suite Bay View /35md4vizu5thsm4i.webp
19,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Bay View /gqid4md9lwzme7at.webp
19,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Bay View /trlmgqsuwxrex0j4.webp
19,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Bay View /2eklnxjcbmsk21bd.webp
19,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Executive Bay View /kak9svnte0hce0ez.webp
20,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Grand Suite  2 phòng ngủ/tteaq9kf17u14id3.webp
20,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Grand Suite  2 phòng ngủ/87zbtpo8gbvd8wq6.webp
20,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Grand Suite  2 phòng ngủ/rg6iwmy7xabkd72e.webp
20,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Grand Suite  2 phòng ngủ/4jgboc4ynmamuib0.webp
21,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Junior Suite/b339a5hb2m8lc0tz.webp
21,https://minio.fares.vn/mixivivu-dev/tour/sea-stars-hotel-ha-long/Junior Suite/gezhprx51y6tfrtl.webp
